2021:07:06 17:27:48.492 INFO  --- [restartedMain] c.f.msg_tuning.MsgTuningApplication : Starting MsgTuningApplication using Java 11.0.10 on ssoya-maegbug.local with PID 6041 (/Users/josoya/Documents/soya/workspace/msg_tuning/target/classes started by josoya in /Users/josoya/Documents/soya/workspace/msg_tuning) 
2021:07:06 17:27:48.495 INFO  --- [restartedMain] c.f.msg_tuning.MsgTuningApplication : The following profiles are active: dev 
2021:07:06 17:27:48.530 WARN  --- [restartedMain] o.s.b.c.c.ConfigDataEnvironment : Property 'spring.profiles' imported from location 'class path resource [application-dev.properties]' is invalid and should be replaced with 'spring.config.activate.on-profile' [origin: class path resource [application-dev.properties] - 7:17] 
2021:07:06 17:27:48.531 INFO  --- [restartedMain] o.s.b.d.restart.ChangeableUrls : The Class-Path manifest attribute in /Users/josoya/.m2/repository/com/drewnoakes/metadata-extractor/2.9.1/metadata-extractor-2.9.1.jar referenced one or more files that do not exist: file:/Users/josoya/.m2/repository/com/drewnoakes/metadata-extractor/2.9.1/xmpcore-5.1.2.jar 
2021:07:06 17:27:48.531 INFO  --- [restartedMain] o.s.b.d.restart.ChangeableUrls : The Class-Path manifest attribute in /Users/josoya/.m2/repository/com/oracle/ojdbc/ojdbc8/19.3.0.0/ojdbc8-19.3.0.0.jar referenced one or more files that do not exist: file:/Users/josoya/.m2/repository/com/oracle/ojdbc/ojdbc8/19.3.0.0/oraclepki.jar 
2021:07:06 17:27:48.531 INFO  --- [restartedMain] o.s.b.d.restart.ChangeableUrls : The Class-Path manifest attribute in /Users/josoya/.m2/repository/com/oracle/ojdbc/oraclepki/19.3.0.0/oraclepki-19.3.0.0.jar referenced one or more files that do not exist: file:/Users/josoya/.m2/repository/com/oracle/ojdbc/oraclepki/19.3.0.0/osdt_core.jar,file:/Users/josoya/.m2/repository/com/oracle/ojdbc/oraclepki/19.3.0.0/osdt_cert.jar,file:/Users/josoya/.m2/repository/com/oracle/ojdbc/oraclepki/oracle.osdt/osdt_core.jar,file:/Users/josoya/.m2/repository/com/oracle/ojdbc/oraclepki/oracle.osdt/osdt_cert.jar 
2021:07:06 17:27:48.531 INFO  --- [restartedMain] o.s.b.d.restart.ChangeableUrls : The Class-Path manifest attribute in /Users/josoya/.m2/repository/com/oracle/ojdbc/orai18n/19.3.0.0/orai18n-19.3.0.0.jar referenced one or more files that do not exist: file:/Users/josoya/.m2/repository/com/oracle/ojdbc/orai18n/19.3.0.0/orai18n-mapping.jar,file:/Users/josoya/.m2/repository/com/oracle/ojdbc/orai18n/19.3.0.0/orai18n-utility.jar,file:/Users/josoya/.m2/repository/com/oracle/ojdbc/orai18n/19.3.0.0/orai18n-collation.jar,file:/Users/josoya/.m2/repository/com/oracle/ojdbc/orai18n/19.3.0.0/orai18n-translation.jar,file:/Users/josoya/.m2/repository/com/oracle/ojdbc/orai18n/19.3.0.0/orai18n-net.jar,file:/Users/josoya/.m2/repository/com/oracle/ojdbc/orai18n/19.3.0.0/orai18n-servlet.jar,file:/Users/josoya/.m2/repository/com/oracle/ojdbc/orai18n/19.3.0.0/orai18n-lcsd.jar,file:/Users/josoya/.m2/repository/com/oracle/ojdbc/orai18n/19.3.0.0/orai18n-tools.jar,file:/Users/josoya/.m2/repository/com/oracle/ojdbc/orai18n/19.3.0.0/gdk_custom.jar 
2021:07:06 17:27:48.532 INFO  --- [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
2021:07:06 17:27:48.532 INFO  --- [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
2021:07:06 17:27:48.919 INFO  --- [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2021:07:06 17:27:48.974 INFO  --- [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 49 ms. Found 3 JPA repository interfaces. 
